timestamp,elapsed_s,temperature_C,humidity_pct,speed_pct
2026-06-11 18:32:10,2.02,-45.0,43.54,nan
2026-06-11 18:32:11,3.0,28.74,43.54,nan
2026-06-11 18:32:12,4.05,28.74,43.54,nan
2026-06-11 18:32:13,5.09,28.74,43.54,nan
2026-06-11 18:32:14,6.14,28.76,43.54,nan
2026-06-11 18:32:15,7.18,28.76,43.52,nan
2026-06-11 18:32:16,8.22,28.75,43.53,nan
2026-06-11 18:32:17,9.27,28.74,43.55,nan
2026-06-11 18:32:19,10.31,28.74,43.54,nan
2026-06-11 18:32:20,11.36,28.76,43.53,nan
2026-06-11 18:32:21,12.4,28.76,43.56,nan
2026-06-11 18:32:22,13.45,28.75,43.56,nan
2026-06-11 18:32:23,14.49,28.78,43.55,nan
2026-06-11 18:32:24,15.53,28.75,43.54,nan
2026-06-11 18:32:25,16.58,28.76,43.56,nan
2026-06-11 18:32:26,17.62,28.74,43.55,nan
2026-06-11 18:32:27,18.67,28.76,43.55,nan
2026-06-11 18:32:28,19.71,28.74,43.56,nan
2026-06-11 18:32:29,20.76,28.75,43.55,nan
2026-06-11 18:32:30,21.8,28.74,43.53,nan
2026-06-11 18:32:31,22.84,28.73,43.55,nan
2026-06-11 18:32:32,23.89,28.75,43.53,nan
2026-06-11 18:32:33,24.93,28.75,43.52,nan
2026-06-11 18:32:34,25.98,28.75,43.56,nan
2026-06-11 18:32:35,27.02,28.77,44.65,nan
2026-06-11 18:32:36,28.07,28.78,45.9,nan
2026-06-11 18:32:37,29.18,28.76,46.58,nan
2026-06-11 18:32:38,30.16,28.78,46.77,nan
2026-06-11 18:32:39,31.2,28.78,46.66,nan
2026-06-11 18:32:40,32.24,28.76,46.45,nan
2026-06-11 18:32:41,33.29,28.78,46.17,nan
